gene,cluster
Slc6a12,#7CAE00
Pex5,#7CAE00
C1rl,#00A9FF
C1ra,#7CAE00
Ptms,#7CAE00
Chd4,#7CAE00
Scnn1a,#7CAE00
Ntf3,#FF61CC
Tspan9,#7CAE00
Borcs5,#7CAE00
Atf7ip,#7CAE00
Plbd1,#00A9FF
Dera,#7CAE00
Slco1a4,#FF61CC
Rassf8,#7CAE00
Ccdc91,#7CAE00
Ergic2,#F8766D
Ipo8,#7CAE00
Amn1,#7CAE00
Nlrp12,#00A9FF
Cnot3,#7CAE00
Epn1,#7CAE00
Zfp787,#7CAE00
Zfp444,#7CAE00
Zfp110,#7CAE00
Bicra,#7CAE00
Ppp1r37,#7CAE00
Apoc2,#FF61CC
Apoc4,#FF61CC
Tomm40,#00A9FF
Ceacam1,#7CAE00
Hnrnpul1,#7CAE00
Cyp2a12,#7CAE00
Cyp2f2,#7CAE00
Gm15883,#7CAE00
Blvrb,#7CAE00
Akt2,#00A9FF
Zfp780b,#7CAE00
Supt5,#7CAE00
Hnrnpl,#7CAE00
Lgals4,#7CAE00
Zfp568,#7CAE00
Kmt2b,#7CAE00
Fxyd1,#00A9FF
Lsm14a,#7CAE00
Gpatch1,#7CAE00
D530033B14Rik,#00A9FF
1600014C10Rik,#00A9FF
Zfp141,#7CAE00
Zfp975,#7CAE00
Aspdh,#7CAE00
Josd2,#00A9FF
Kcnc3,#7CAE00
Dhdh,#FF61CC
Tulp2,#00A9FF
Bcat2,#00A9FF
Kdelr1,#7CAE00
Ldha,#7CAE00
Nav2,#F8766D
Herc2,#7CAE00
Mtmr10,#7CAE00
Fan1,#7CAE00
Pcsk6,#F8766D
Igf1r,#C77CFF
Gm16158,#7CAE00
Nr2f2,#7CAE00
Slco3a1,#C77CFF
Abhd2,#7CAE00
Anpep,#7CAE00
Zfp710,#7CAE00
Furin,#7CAE00
Crtc3,#7CAE00
Iqgap1,#C77CFF
Sec11a,#7CAE00
Zfp592,#7CAE00
Homer2,#F8766D
Abhd17c,#7CAE00
Pcf11,#7CAE00
Rsf1,#7CAE00
Emsy,#7CAE00
Slco2b1,#00A9FF
Ppme1,#7CAE00
Arap1,#7CAE00
Numa1,#7CAE00
Stim1,#7CAE00
Hpx,#7CAE00
Gm20663,#7CAE00
1600010M07Rik,#7CAE00
Eif4g2,#7CAE00
Copb1,#7CAE00
4933406I18Rik,#7CAE00
Insc,#00A9FF
Plekha7,#7CAE00
Gde1,#7CAE00
Pdilt,#7CAE00
Gm19950,#7CAE00
Acsm3,#00A9FF
Dcun1d3,#7CAE00
Anks4b,#7CAE00
Uqcrc2,#7CAE00
Tnrc6a,#F8766D
Gtf3c1,#7CAE00
D430042O09Rik,#7CAE00
Xpo6,#7CAE00
Sbk1,#7CAE00
Atxn2l,#7CAE00
Taok2,#7CAE00
Qprt,#00A9FF
Sephs2,#7CAE00
Prr14,#7CAE00
Srcap,#00A9FF
Setd1a,#7CAE00
Tial1,#7CAE00
Sec23ip,#7CAE00
Wdr11,#7CAE00
Lhpp,#FF61CC
Edrf1,#7CAE00
Uros,#7CAE00
Echs1,#7CAE00
Rnh1,#00A9FF
Phrf1,#7CAE00
Cdhr5,#7CAE00
Eps8l2,#7CAE00
Slc25a22,#00A9FF
Tspan4,#7CAE00
Ap2a2,#7CAE00
Mob2,#7CAE00
Slc22a18,#00A9FF
Nap1l4,#7CAE00
Nadsyn1,#7CAE00
Ppfia1,#7CAE00
Iyd,#7CAE00
Rmnd1,#00A9FF
Lats1,#7CAE00
Ppil4,#7CAE00
Shprh,#00A9FF
Pex3,#7CAE00
Reps1,#7CAE00
Ccdc28a,#7CAE00
Nhsl1,#7CAE00
Pex7,#00A9FF
Enpp1,#7CAE00
Enpp3,#00A9FF
Smlr1,#7CAE00
Gm29571,#7CAE00
L3mbtl3,#7CAE00
Echdc1,#7CAE00
Rnf217,#F8766D
Nt5dc1,#7CAE00
Lama4,#C77CFF
Cep57l1,#7CAE00
Afg1l,#7CAE00
Sobp,#C77CFF
Prep,#7CAE00
Gopc,#7CAE00
Hsf2,#00A9FF
Gcc2,#7CAE00
Pla2g12b,#7CAE00
Micu1,#7CAE00
Lrrc20,#7CAE00
Ppa1,#00A9FF
Ddx50,#7CAE00
Dna2,#00A9FF
Hnrnph3,#7CAE00
Dnajc12,#00A9FF
Bicc1,#C77CFF
Bcr,#00A9FF
Cabin1,#7CAE00
Gstt2,#00A9FF
Fam207a,#7CAE00
Trappc10,#7CAE00
Agpat3,#00A9FF
Tmem259,#7CAE00
Sbno2,#7CAE00
Stk11,#7CAE00
Reep6,#00A9FF
Rexo1,#7CAE00
Ap3d1,#7CAE00
Map2k2,#7CAE00
Txnrd1,#7CAE00
Rfx4,#7CAE00
Hsp90b1,#F8766D
Nt5dc3,#7CAE00
Actr6,#7CAE00
Slc25a3,#7CAE00
Hal,#F8766D
Nr2c1,#7CAE00
Nudt4,#7CAE00
Syt1,#00A9FF
Phlda1,#7CAE00
Gm30262,#7CAE00
Tbc1d15,#7CAE00
Rab21,#7CAE00
Tmem19,#7CAE00
Thap2,#7CAE00
Lgr5,#FF61CC
Tspan8,#C77CFF
Rab3ip,#7CAE00
Mdm2,#7CAE00
Grip1,#FF61CC
Helb,#7CAE00
Lemd3,#7CAE00
Tbc1d30,#7CAE00
Gns,#7CAE00
Tbk1,#7CAE00
Xpot,#7CAE00
Gm36041,#FF61CC
Slc16a7,#FF61CC
Lrig3,#00A9FF
Tspan31,#7CAE00
Agap2,#7CAE00
Os9,#00A9FF
Gm47200,#00A9FF
Inhbe,#7CAE00
Inhbc,#7CAE00
Rdh16f2,#00A9FF
Hsd17b6,#FF61CC
Ptges3,#7CAE00
Atp5b,#7CAE00
Pan2,#00A9FF
Cs,#7CAE00
Smarcc2,#7CAE00
Erbb3,#F8766D
9030616G12Rik,#00A9FF
Arhgef18,#7CAE00
Pex11g,#7CAE00
Pnpla6,#7CAE00
Timm44,#7CAE00
Elavl1,#7CAE00
Ccl25,#00A9FF
Arglu1,#7CAE00
B930025P03Rik,#FF61CC
Irs2,#00A9FF
Arhgef7,#00A9FF
F7,#00A9FF
Grtp1,#00A9FF
Tfdp1,#7CAE00
Gas6,#C77CFF
Mcph1,#7CAE00
Atp7b,#7CAE00
Slc25a15,#CD9600
Ikbkb,#7CAE00
Ddhd2,#7CAE00
Bag4,#7CAE00
Wrn,#7CAE00
Gsr,#7CAE00
Mfhas1,#7CAE00
Vps37a,#7CAE00
B430010I23Rik,#00A9FF
Gm16193,#00A9FF
Mtnr1a,#FF61CC
F11,#00A9FF
Klkb1,#CD9600
Ufsp2,#7CAE00
Stox2,#C77CFF
Wwc2,#7CAE00
Cep44,#7CAE00
Fbxo8,#7CAE00
Clcn3,#7CAE00
Nek1,#F8766D
Gm45589,#FF61CC
Atp6v1b2,#7CAE00
Gatad2a,#7CAE00
Slc25a42,#CD9600
Kxd1,#7CAE00
Ell,#00A9FF
Pde4c,#00A9FF
Eps15l1,#7CAE00
Cherp,#7CAE00
Med26,#7CAE00
Slc10a7,#7CAE00
Otud4,#7CAE00
Abce1,#7CAE00
Smarca5,#7CAE00
Tecr,#7CAE00
Gcdh,#F8766D
Hook2,#7CAE00
Gm42031,#7CAE00
Dnaja2,#7CAE00
Heatr3,#7CAE00
Brd7,#7CAE00
Rbl2,#00A9FF
Nlrc5,#7CAE00
Rspry1,#7CAE00
Ciapin1,#7CAE00
Coq9,#7CAE00
Got2,#00A9FF
D230025D16Rik,#CD9600
B3gnt9,#7CAE00
Atp6v0d1,#7CAE00
Edc4,#7CAE00
Pskh1,#7CAE00
Lcat,#7CAE00
Esrp2,#7CAE00
Slc7a6os,#7CAE00
Tango6,#7CAE00
Wwp2,#7CAE00
Psmd7,#7CAE00
Zfp612,#7CAE00
Il34,#C77CFF
Ddx19b,#7CAE00
Aars,#00A9FF
Glg1,#7CAE00
Ldhd,#7CAE00
Bcar1,#7CAE00
Cfdp1,#7CAE00
Mlycd,#7CAE00
Osgin1,#7CAE00
Mbtps1,#7CAE00
Usp10,#FF61CC
Fbxo31,#00A9FF
Zcchc14,#7CAE00
Sult5a1,#7CAE00
Abcb10,#7CAE00
2810004N23Rik,#7CAE00
Pxk,#7CAE00
Pdhb,#7CAE00
Ngly1,#7CAE00
Top2b,#7CAE00
Nkiras1,#7CAE00
Ube2e1,#7CAE00
Ube2e2,#00A9FF
Sec24c,#7CAE00
Zswim8,#7CAE00
Ndst2,#7CAE00
Kcnma1,#C77CFF
Polr3a,#7CAE00
Anxa11,#7CAE00
Arf4,#7CAE00
Chdh,#F8766D
Itih1,#00A9FF
Gnl3,#7CAE00
Smim4,#7CAE00
Sh3bp5,#00A9FF
Hacl1,#FF61CC
Ncoa4,#7CAE00
Timm23,#7CAE00
Parg,#7CAE00
Ercc6,#7CAE00
Bmpr1a,#7CAE00
Ccser2,#7CAE00
Sh2d4b,#C77CFF
Mbl1,#7CAE00
Psmc6,#7CAE00
Fermt2,#F8766D
Mapk1ip1l,#7CAE00
Atg14,#7CAE00
Ktn1,#7CAE00
Peli2,#F8766D
Rnase4,#00A9FF
Supt16,#7CAE00
Chd8,#7CAE00
Pabpn1,#FF61CC
Zfhx2,#7CAE00
Dhrs4,#7CAE00
Dcaf11,#F8766D
Cideb,#7CAE00
Mphosph8,#7CAE00
Pspc1,#7CAE00
Xpo4,#7CAE00
Micu2,#7CAE00
Rcbtb1,#7CAE00
Setdb2,#00A9FF
Cdadc1,#7CAE00
Ebpl,#FF61CC
Kpna3,#7CAE00
Gata4,#00A9FF
Ints9,#7CAE00
Scara5,#CD9600
Ccdc25,#7CAE00
Scara3,#C77CFF
Gulo,#00A9FF
Ptk2b,#F8766D
Adra1a,#00A9FF
Ppp2r2a,#7CAE00
Sorbs3,#00A9FF
Itm2b,#00A9FF
Sucla2,#7CAE00
Slc25a30,#7CAE00
Gtf2f2,#7CAE00
Akap11,#7CAE00
Naa16,#7CAE00
Pibf1,#7CAE00
4930517O19Rik,#00A9FF
Lmo7,#7CAE00
Dnajc3,#7CAE00
Ubac2,#7CAE00
Tm9sf2,#7CAE00
Cwf19l2,#7CAE00
Pdgfd,#C77CFF
Yap1,#F8766D
Maml2,#C77CFF
4931406C07Rik,#7CAE00
Taf1d,#7CAE00
Chordc1,#7CAE00
Zfp266,#7CAE00
Col5a3,#00A9FF
Atg4d,#7CAE00
Dnm2,#7CAE00
Smarca4,#7CAE00
Angptl8,#7CAE00
Tmem205,#00A9FF
Rgl3,#00A9FF
1810064F22Rik,#FF61CC
Dpy19l1,#F8766D
Ncapd3,#7CAE00
Snx19,#7CAE00
Prdm10,#7CAE00
Gm47465,#F8766D
Arhgap32,#7CAE00
Srpr,#7CAE00
Foxred1,#7CAE00
Ei24,#00A9FF
Hspa8,#7CAE00
Tbcel,#7CAE00
Nectin1,#7CAE00
Slc37a4,#00A9FF
Bcl9l,#F8766D
Arcn1,#7CAE00
Tmem25,#00A9FF
Kmt2a,#7CAE00
Mpzl2,#00A9FF
Bace1,#7CAE00
Pcsk7,#00A9FF
Sidt2,#7CAE00
Apoa1,#F8766D
Apoc3,#7CAE00
Nnmt,#F8766D
Dlat,#7CAE00
Dixdc1,#00A9FF
Exph5,#00A9FF
Cul5,#7CAE00
Dmxl2,#F8766D
Idh3a,#7CAE00
Ube2q2,#7CAE00
Fbxo22,#7CAE00
Hmg20a,#7CAE00
Ptpn9,#7CAE00
Gm10658,#F8766D
Sin3a,#7CAE00
Csk,#7CAE00
Edc3,#00A9FF
Thsd4,#C77CFF
Anp32a,#00A9FF
Map2k1,#7CAE00
Dennd4a,#7CAE00
Dpp8,#7CAE00
Rbpms2,#7CAE00
Dapk2,#7CAE00
Herc1,#7CAE00
Vps13c,#F8766D
Ice2,#7CAE00
Aqp9,#CD9600
Cgnl1,#F8766D
Onecut1,#F8766D
Fbxo9,#7CAE00
Ick,#7CAE00
Eef1a1,#7CAE00
Slc17a5,#7CAE00
Gm27216,#7CAE00
Gm46124,#00A9FF
Ibtk,#7CAE00
Pgm3,#7CAE00
Syncrip,#7CAE00
Zfp949,#7CAE00
Ctsh,#00A9FF
Morf4l1,#7CAE00
Gm30849,#7CAE00
Paqr9,#7CAE00
Xrn1,#F8766D
Nmnat3,#7CAE00
Pik3cb,#7CAE00
Nck1,#7CAE00
Pccb,#7CAE00
Trf,#FF61CC
Nphp3,#7CAE00
Dnajc13,#7CAE00
Glyctk,#F8766D
Wdr82,#7CAE00
Parp3,#7CAE00
Dcaf1,#7CAE00
Ip6k1,#7CAE00
Rnf123,#00A9FF
Mst1,#00A9FF
Usp4,#F8766D
Arih2,#7CAE00
Prkar2a,#7CAE00
Scap,#7CAE00
Rtp3,#00A9FF
Gm36251,#00A9FF
Ubp1,#7CAE00
Cnot10,#7CAE00
Tgfbr2,#FF61CC
Rbms3,#C77CFF
Cmc1,#7CAE00
Slc22a14,#00A9FF
Acaa1a,#00A9FF
Lars2,#7CAE00
Sacm1l,#7CAE00
Fyco1,#F8766D
Sfi1,#7CAE00
Eif4enif1,#7CAE00
Rnf185,#7CAE00
Morc2a,#7CAE00
Sec14l4,#F8766D
Ccdc157,#7CAE00
Nf2,#7CAE00
Ap1b1,#7CAE00
Znrf3,#F8766D
Gm11963,#FF61CC
Xbp1,#7CAE00
Camk2b,#F8766D
1700042O10Rik,#00A9FF
Spred2,#7CAE00
Rab1a,#7CAE00
Aftph,#7CAE00
Peli1,#7CAE00
Vps54,#7CAE00
Mdh1,#7CAE00
Pex13,#7CAE00
Pus10,#7CAE00
Mtif2,#7CAE00
Asb3,#7CAE00
Nprl3,#7CAE00
Pwwp2a,#7CAE00
Ublcp1,#7CAE00
Clint1,#7CAE00
Timd2,#F8766D
Trim41,#7CAE00
Mrnip,#7CAE00
Sqstm1,#7CAE00
Maml1,#7CAE00
Hnrnph1,#7CAE00
Rufy1,#7CAE00
Phykpl,#7CAE00
Sar1b,#F8766D
Hspa4,#7CAE00
Shroom1,#7CAE00
G3bp1,#7CAE00
Cnot8,#7CAE00
Trim11,#7CAE00
Snap47,#7CAE00
Cops3,#7CAE00
Rai1,#7CAE00
Aldh3a2,#00A9FF
Ttc19,#7CAE00
Cenpv,#7CAE00
Hs3st3b1,#00A9FF
Cox10,#7CAE00
Ndel1,#7CAE00
Fxr2,#7CAE00
Eif4a1,#7CAE00
Polr2a,#7CAE00
Asgr1,#7CAE00
Asgr2,#7CAE00
Mink1,#7CAE00
Camta2,#7CAE00
Inca1,#F8766D
Kif1c,#00A9FF
Derl2,#7CAE00
Shpk,#00A9FF
Aspa,#F8766D
Cluh,#00A9FF
Rtn4rl1,#FF61CC
Serpinf1,#00A9FF
Serpinf2,#00A9FF
Vps53,#7CAE00
Abhd15,#00A9FF
Phf12,#F8766D
Supt6,#7CAE00
2610507B11Rik,#7CAE00
Vtn,#7CAE00
Nlk,#7CAE00
Adap2os,#7CAE00
Rnf135,#7CAE00
Gm31522,#7CAE00
Heatr6,#7CAE00
Tada2a,#7CAE00
Aatf,#7CAE00
Brip1os,#7CAE00
Mtmr4,#7CAE00
Rnf43,#00A9FF
Cuedc1,#C77CFF
Trim25,#7CAE00
Mmd,#00A9FF
Hlf,#CD9600
Tob1,#7CAE00
Luc7l3,#7CAE00
Acsf2,#00A9FF
Zfp652,#7CAE00
Med1,#7CAE00
Grb7,#7CAE00
Nr1d1,#7CAE00
Acly,#7CAE00
Tmem106a,#7CAE00
Dhx8,#7CAE00
Dcakd,#F8766D
Nsf,#7CAE00
Cdc27,#7CAE00
Taco1,#CD9600
Map3k3,#7CAE00
Ddx42,#7CAE00
Bptf,#7CAE00
Psmd12,#7CAE00
Prkca,#7CAE00
Apoh,#00A9FF
Axin2,#FF61CC
Arsg,#7CAE00
Fam20a,#00A9FF
2610035D17Rik,#C77CFF
Slc39a11,#7CAE00
Cdc42ep4,#00A9FF
Ttyh2,#7CAE00
Fdxr,#7CAE00
Grb2,#7CAE00
Recql5,#7CAE00
Prpsap1,#00A9FF
Sept9,#7CAE00
Afmid,#FF61CC
Tbc1d16,#00A9FF
P4hb,#7CAE00
Sirt7,#00A9FF
Notum,#00A9FF
Aspscr1,#00A9FF
Gm17178,#7CAE00
Narf,#7CAE00
Foxk2,#7CAE00
Tbcd,#7CAE00
Asb13,#7CAE00
Akr1c14,#00A9FF
Akr1c20,#00A9FF
Akr1e1,#7CAE00
Wdr37,#7CAE00
Gtpbp4,#7CAE00
Ero1lb,#00A9FF
Tbce,#7CAE00
Vps41,#7CAE00
Zscan26,#F8766D
Slc17a4,#7CAE00
Mrs2,#7CAE00
Dcdc2a,#C77CFF
E2f3,#7CAE00
Agtr1a,#00A9FF
Exoc2,#7CAE00
Bphl,#00A9FF
Slc22a23,#CD9600
Gm16984,#00A9FF
Cdyl,#7CAE00
Nrn1,#00A9FF
AI463229,#7CAE00
Snrnp48,#7CAE00
Bmp6,#C77CFF
Txndc5,#7CAE00
Gm32063,#00A9FF
Hivep1,#7CAE00
Dtnbp1,#7CAE00
Kif13a,#7CAE00
Tpmt,#00A9FF
Rnf144b,#00A9FF
Phf2,#7CAE00
Spin1,#7CAE00
Secisbp2,#7CAE00
Auh,#00A9FF
Sfxn1,#7CAE00
Simc1,#7CAE00
4833439L19Rik,#7CAE00
Faf2,#7CAE00
Fgfr4,#7CAE00
Lman2,#7CAE00
Fam193b,#7CAE00
Ddx46,#7CAE00
Txndc15,#7CAE00
Pcbd2,#7CAE00
H2afy,#7CAE00
Lect2,#FF61CC
Klhl3,#00A9FF
Ubqln1,#7CAE00
Hnrnpk,#7CAE00
Ntrk2,#FF61CC
Naa35,#7CAE00
Ptch1,#7CAE00
Ercc6l2,#7CAE00
1810034E14Rik,#00A9FF
Nsun2,#00A9FF
Srd5a1,#00A9FF
Sdha,#7CAE00
E430024I08Rik,#7CAE00
Erap1,#7CAE00
Cast,#7CAE00
Ttc37,#7CAE00
Arrdc3,#7CAE00
Xrcc4,#7CAE00
Tmem167,#7CAE00
Msh3,#7CAE00
Dhfr,#7CAE00
Jmy,#7CAE00
Arsb,#7CAE00
Scamp1,#7CAE00
Gfm2,#7CAE00
Bdp1,#7CAE00
Ocln,#7CAE00
Rad17,#7CAE00
Ccdc125,#7CAE00
Cdk7,#7CAE00
Slc30a5,#7CAE00
Mast4,#7CAE00
Elovl7,#C77CFF
Pde4d,#00A9FF
Gpbp1,#7CAE00
Slc38a9,#7CAE00
A430090L17Rik,#7CAE00
Mocs2,#00A9FF
Itga1,#00A9FF
Parp8,#C77CFF
Paip1,#7CAE00
4833420G17Rik,#7CAE00
Dnmt3a,#7CAE00
Sdc1,#7CAE00
Ddx1,#7CAE00
Nbas,#7CAE00
Id2,#7CAE00
Gm36287,#FF61CC
Trappc12,#7CAE00
Gm31508,#00A9FF
Gm31333,#00A9FF
Hbp1,#7CAE00
Ahr,#00A9FF
Ifrd1,#7CAE00
Lrrn3,#7CAE00
Gm47371,#00A9FF
Scfd1,#7CAE00
Ralgapa1,#7CAE00
Sec23a,#7CAE00
Gemin2,#7CAE00
Prpf39,#7CAE00
Nemf,#7CAE00
L2hgdh,#7CAE00
Map4k5,#7CAE00
Psma3,#F8766D
Arid4a,#00A9FF
Timm9,#F8766D
2700049A03Rik,#7CAE00
Ppm1a,#7CAE00
Mnat1,#7CAE00
Rhoj,#C77CFF
Gm34868,#00A9FF
Plekhg3,#F8766D
Max,#7CAE00
Zfyve26,#7CAE00
Slc39a9,#7CAE00
Slc10a1,#F8766D
Synj2bp,#FF61CC
Pcnx,#7CAE00
Sipa1l1,#7CAE00
Dpf3,#00A9FF
Elmsan1,#7CAE00
Ptgr2,#00A9FF
Zfp410,#7CAE00
Entpd5,#00A9FF
Arel1,#7CAE00
Dlst,#7CAE00
Tmed10,#7CAE00
Flvcr2,#FF61CC
Cipc,#7CAE00
Vipas39,#7CAE00
Alkbh1,#7CAE00
Adck1,#7CAE00
Psmc1,#7CAE00
Ttc7b,#F8766D
Rin3,#7CAE00
Golga5,#7CAE00
Ddx24,#7CAE00
Serpina10,#7CAE00
Serpina1b,#F8766D
Serpina11,#7CAE00
Serpina3m,#F8766D
Dicer1,#7CAE00
Syne3,#FF61CC
Atg2b,#7CAE00
Yy1,#7CAE00
Wdr25,#7CAE00
Ppp2r5c,#7CAE00
Wdr20,#7CAE00
Rcor1,#7CAE00
Traf3,#7CAE00
Cdc42bpb,#7CAE00
Eif5,#F8766D
Brf1,#7CAE00
Wdr70,#7CAE00
Nup155,#7CAE00
Nadk2,#00A9FF
Ugt3a1,#7CAE00
Amacr,#00A9FF
Cdh6,#C77CFF
Myo10,#7CAE00
Ank,#00A9FF
Otulin,#F8766D
Trio,#7CAE00
Ctnnd2,#C77CFF
Cmbl,#F8766D
Sema5a,#C77CFF
Rida,#7CAE00
Nipal2,#C77CFF
Stk3,#7CAE00
Rnf19a,#7CAE00
Pabpc1,#7CAE00
Ncald,#FF61CC
Azin1,#F8766D
Slc25a32,#7CAE00
Oxr1,#7CAE00
Angpt1,#C77CFF
Mal2,#7CAE00
Taf2,#7CAE00
Fam91a1,#7CAE00
Pvt1,#7CAE00
Asap1,#7CAE00
Phf20l1,#F8766D
St3gal1,#F8766D
Nrbp2,#7CAE00
Plec,#7CAE00
Grina,#7CAE00
Oplah,#7CAE00
Adck5,#7CAE00
Gpt,#00A9FF
Apol7a,#00A9FF
Apol9a,#7CAE00
Txn2,#7CAE00
Tmprss6,#00A9FF
Sun2,#7CAE00
Apobec3,#C77CFF
Slc25a17,#7CAE00
Ep300,#7CAE00
Tob2,#7CAE00
Polr3h,#7CAE00
Cyp2d10,#F8766D
Cyp2d9,#CD9600
Cyp2d40,#7CAE00
Pacsin2,#7CAE00
Ttc38,#00A9FF
Tbc1d22a,#7CAE00
Brd1,#7CAE00
Trabd,#00A9FF
Selenoo,#7CAE00
Sco2,#CD9600
Chkb,#FF61CC
Arsa,#7CAE00
Scaf11,#7CAE00
Ccnt1,#7CAE00
Adcy6,#7CAE00
Kmt2d,#7CAE00
Dnajc22,#7CAE00
Tmbim6,#00A9FF
Gpd1,#7CAE00
Atf1,#7CAE00
Tfcp2,#7CAE00
Eif4b,#7CAE00
Tns2,#7CAE00
Soat2,#7CAE00
Zfp740,#7CAE00
Atf7,#FF61CC
Copz1,#7CAE00
Naa60,#FF61CC
Dnaja3,#7CAE00
Mgrn1,#7CAE00
Glyr1,#7CAE00
Ubn1,#7CAE00
Pmm2,#7CAE00
Usp7,#7CAE00
Dexi,#7CAE00
Clec16a,#7CAE00
Gspt1,#7CAE00
Parn,#7CAE00
Bfar,#00A9FF
Mpv17l,#00A9FF
Prkdc,#7CAE00
Dnm1l,#7CAE00
Mapk1,#7CAE00
Ube2l3,#7CAE00
Serpind1,#00A9FF
Med15,#7CAE00
Dgcr2,#FF61CC
Ufd1,#7CAE00
Hira,#FF61CC
Klhl24,#7CAE00
Yeats2,#7CAE00
Clcn2,#7CAE00
Ehhadh,#7CAE00
Map3k13,#7CAE00
Senp2,#7CAE00
Tbccd1,#7CAE00
Fetub,#7CAE00
Eif4a2,#7CAE00
Ccdc50,#7CAE00
Mb21d2,#7CAE00
Opa1,#7CAE00
Lsg1,#7CAE00
Acap2,#7CAE00
Bdh1,#00A9FF
Senp5,#7CAE00
Pcyt1a,#7CAE00
Fyttd1,#7CAE00
Slc12a8,#C77CFF
Hacd2,#F8766D
Dtx3l,#7CAE00
Parp9,#00A9FF
Kpna1,#7CAE00
Gtf2e1,#7CAE00
Rabl3,#7CAE00
Tmem39a,#7CAE00
Gm9968,#7CAE00
Ccdc191,#7CAE00
Gm609,#C77CFF
Gm15638,#7CAE00
Nectin3,#7CAE00
Zbtb11,#7CAE00
Tfg,#7CAE00
Cpox,#00A9FF
Pros1,#00A9FF
Zfp654,#7CAE00
Robo1,#FF61CC
Nrip1,#7CAE00
Ltn1,#7CAE00
Usp16,#7CAE00
Bach1,#7CAE00
Sod1,#7CAE00
Scaf4,#7CAE00
Paxbp1,#7CAE00
Ifnar2,#7CAE00
Itsn1,#00A9FF
Hlcs,#7CAE00
Snx9,#00A9FF
Slc22a1,#00A9FF
Mrpl18,#00A9FF
Tcp1,#7CAE00
Sod2,#00A9FF
Fam120b,#7CAE00
Psmb1,#7CAE00
Chd1,#7CAE00
Riok2,#7CAE00
Zfp942,#7CAE00
Pdpk1,#7CAE00
Tbc1d24,#7CAE00
Tedc2,#F8766D
Eci1,#7CAE00
Zfp598,#7CAE00
Msrb1,#7CAE00
Mapk8ip3,#7CAE00
Cramp1l,#7CAE00
Ube2i,#7CAE00
Rab40c,#7CAE00
Capn15,#7CAE00
Rab11fip3,#7CAE00
Decr2,#00A9FF
Luc7l,#7CAE00
Ergic1,#7CAE00
Ggnbp1,#00A9FF
Nudt3,#7CAE00
Anks1,#7CAE00
Ppard,#7CAE00
Brpf3,#7CAE00
BC004004,#7CAE00
Pim1,#7CAE00
Cmtr1,#FF61CC
Glo1,#00A9FF
Gm15318,#7CAE00
Pde9a,#00A9FF
Cbs,#F8766D
U2af1,#7CAE00
Akap8,#7CAE00
Cyp4f17,#7CAE00
Cyp4f13,#F8766D
Rab11b,#7CAE00
Angptl4,#7CAE00
Brd2,#7CAE00
Skiv2l,#7CAE00
Cfb,#7CAE00
C2,#FF61CC
Ehmt2,#7CAE00
Ddx39b,#7CAE00
Ppp1r10,#F8766D
Abcf1,#7CAE00
A930015D03Rik,#7CAE00
Cdc5l,#7CAE00
Hsp90ab1,#7CAE00
Tmem63b,#7CAE00
Gtpbp2,#7CAE00
Zfp318,#7CAE00
Klc4,#00A9FF
Bicral,#7CAE00
1700001C19Rik,#00A9FF
Tfeb,#7CAE00
Mocs1,#00A9FF
Hdgfl2,#7CAE00
Tnfaip8l1,#00A9FF
Safb2,#F8766D
Safb,#F8766D
Nudt12,#7CAE00
Fer,#7CAE00
Mtcl1,#C77CFF
Smchd1,#7CAE00
Wdr43,#7CAE00
Lclat1,#00A9FF
Xdh,#CD9600
Spast,#7CAE00
Heatr5b,#7CAE00
Cebpz,#7CAE00
Rmdn2,#F8766D
Hnrnpll,#7CAE00
Sos1,#F8766D
Eml4,#7CAE00
Thada,#7CAE00
Mcfd2,#7CAE00
Ttc7,#00A9FF
Kdm5d,#7CAE00
Ddx3y,#7CAE00
Gm47283,#7CAE00
Crem,#7CAE00
Mtpap,#7CAE00
Kif5b,#7CAE00
Mpp7,#7CAE00
Thoc1,#7CAE00
Tmem241,#7CAE00
Riok3,#7CAE00
Dsc2,#7CAE00
Trappc8,#7CAE00
Nol4,#7CAE00
Mocos,#7CAE00
Sap130,#7CAE00
Epb41l4a,#C77CFF
Apc,#7CAE00
Brd8,#7CAE00
Etf1,#7CAE00
Slc23a1,#00A9FF
Cxxc5,#00A9FF
Pcdh1,#7CAE00
Lars,#7CAE00
Rbm27,#7CAE00
Ppp2r2b,#C77CFF
Sema6a,#C77CFF
Tnfaip8,#C77CFF
Snx24,#7CAE00
Prrc1,#7CAE00
Gm4841,#7CAE00
Iigp1,#00A9FF
Ndst1,#7CAE00
Arhgef37,#F8766D
St8sia3os,#F8766D
Fech,#00A9FF
Lman1,#00A9FF
Afg3l2,#7CAE00
Fam210a,#7CAE00
Rab27b,#C77CFF
Myo5b,#7CAE00
Lipg,#7CAE00
8030462N17Rik,#7CAE00
Atp5a1,#7CAE00
Pstpip2,#00A9FF
Pqlc1,#F8766D
Zfp236,#7CAE00
Tshz1,#F8766D
Zadh2,#7CAE00
Lrp5,#00A9FF
1810055G02Rik,#00A9FF
Kmt5b,#7CAE00
Rps6kb2,#7CAE00
Sptbn2,#7CAE00
Sf3b2,#7CAE00
Syvn1,#7CAE00
Sf1,#7CAE00
Esrra,#7CAE00
Flrt1,#00A9FF
Mark2,#7CAE00
Slc22a28,#7CAE00
Ganab,#7CAE00
