gene,cluster
Col27a1,#00BFC4
Ptprd,#00BE67
Lurap1l,#7CAE00
Nfib,#F8766D
Gm11266,#F8766D
Ccdc171,#F8766D
Fggy,#CD9600
Cyp2j5,#00BE67
Nfia,#CD9600
Pgm2,#00BFC4
Ror1,#00BFC4
Jak1,#F8766D
Slc35d1,#F8766D
Gm12718,#00BFC4
C8b,#F8766D
C8a,#CD9600
Prkaa2,#7CAE00
Ssbp3,#CD9600
Scp2,#CD9600
Echdc2,#CD9600
Zfyve9,#7CAE00
Osbpl9,#F8766D
Eps15,#7CAE00
Faf1,#F8766D
Tesk2,#F8766D
St3gal3,#CD9600
Nfyc,#F8766D
Rlf,#7CAE00
Mfsd2a,#F8766D
Macf1,#F8766D
Thrap3,#7CAE00
Ago3,#7CAE00
Zmym4,#7CAE00
Sfpq,#7CAE00
Ak2,#00A9FF
Rbbp4,#F8766D
Pum1,#F8766D
Srsf4,#F8766D
Epb41,#CD9600
Phactr4,#F8766D
Wasf2,#7CAE00
Arid1a,#F8766D
Cep85,#F8766D
Tmem57,#00BFC4
Rsrp1,#CD9600
Clic4,#7CAE00
Ece1,#CD9600
Eif4g3,#F8766D
Ddi2,#CD9600
Agmat,#CD9600
Prdm2,#F8766D
Vps13d,#F8766D
Masp2,#CD9600
Pex14,#CD9600
Kif1b,#CD9600
Ube4b,#F8766D
Rere,#F8766D
Errfi1,#00BE67
Dnajc11,#F8766D
Nadk,#7CAE00
Slc35e2,#F8766D
Ccnl2,#F8766D
Akap9,#F8766D
Crot,#00A9FF
Ptpn12,#7CAE00
Gsap,#7CAE00
5031425E22Rik,#7CAE00
Kmt2e,#F8766D
Srpk2,#F8766D
Prkag2,#CD9600
Kmt2c,#F8766D
Insig1,#7CAE00
Rbm33,#F8766D
Dnajb6,#F8766D
Gckr,#CD9600
Rbks,#7CAE00
Babam2,#7CAE00
Yes1,#7CAE00
Fam193a,#F8766D
D5Ertd579e,#F8766D
Cpeb2,#7CAE00
Stim2,#7CAE00
0610040J01Rik,#7CAE00
Ube2k,#7CAE00
Pds5a,#7CAE00
Rbm47,#CD9600
Apbb2,#7CAE00
Slc30a9,#7CAE00
Tec,#F8766D
Fryl,#7CAE00
Scfd2,#F8766D
Ugt2b1,#F8766D
Ugt2b36,#CD9600
Rufy3,#F8766D
Gc,#CD9600
Ankrd17,#F8766D
Alb,#CD9600
Afm,#CD9600
5830473C10Rik,#00BFC4
Scarb2,#7CAE00
Fam47e,#F8766D
Shroom3,#7CAE00
Sec31a,#F8766D
Wdfy3,#F8766D
Lrrc8d,#00A9FF
Zfp644,#7CAE00
Evi5,#F8766D
Pxmp2,#F8766D
Ep400,#7CAE00
2900026A02Rik,#CD9600
Hnf1aos1,#F8766D
Sppl3,#7CAE00
Taok3,#CD9600
Slc8b1,#00A9FF
Tpcn1,#F8766D
Aldh2,#CD9600
Brap,#CD9600
Atxn2,#CD9600
Pptc7,#F8766D
Atp2a2,#F8766D
Psmd9,#CD9600
Scarb1,#CD9600
Aacs,#7CAE00
Glt1d1,#00BE67
Vkorc1l1,#7CAE00
Asl,#CD9600
Crcp,#F8766D
Mlxipl,#00BE67
Baz1b,#F8766D
Por,#00BE67
Cux1,#F8766D
Tfr2,#CD9600
Cyp3a13,#F8766D
Azgp1,#CD9600
Zkscan1,#7CAE00
Gna12,#F8766D
Rnf216,#F8766D
Bri3,#7CAE00
Baiap2l1,#F8766D
Cyp3a25,#00BE67
Cdk8,#F8766D
Pan3,#F8766D
N4bp2l1,#F8766D
N4bp2l2,#F8766D
Tfpi2,#CD9600
Ppp1r9a,#F8766D
Slc25a13,#00BE67
Phf14,#F8766D
Foxp2,#F8766D
Met,#F8766D
Tspan12,#CD9600
Gm26719,#00BFC4
Cped1,#00BE67
Aass,#00BE67
Cadps2,#7CAE00
Snd1,#F8766D
Lrrc4,#F8766D
Tnpo3,#7CAE00
Ahcyl2,#7CAE00
Ube2h,#F8766D
Klhdc10,#7CAE00
Lncpint,#F8766D
Mkln1,#F8766D
Chchd3,#CD9600
Exoc4,#7CAE00
Cald1,#F8766D
Cnot4,#7CAE00
Akr1d1,#CD9600
Ubn2,#F8766D
Luc7l2,#CD9600
Hipk2,#F8766D
Tpk1,#7CAE00
Cul1,#7CAE00
Tra2a,#7CAE00
Mpp6,#7CAE00
Hnrnpa2b1,#F8766D
Hibadh,#F8766D
