"Gene.Symbol","pvalue","log2FoldChange"
"1110012L19Rik",0.14399726884234,0.17410212585552
"1110014N23Rik",0.715321068272537,-0.0424472676843384
"1110017F19Rik",0.168060065974349,-0.495988541742624
"1110018G07Rik",0.062304368355538,0.18453549022362
"1110018J18Rik",0.874876085345918,-0.0142575344345406
"1110018N20Rik",0.263729163273537,-0.368511301640926
"1110019D14Rik",0.350366387350944,0.148834618094797
"1110020A21Rik",0.466760096132067,-0.183576347188319
"1110021J02Rik",0.17406429354177,0.125031220206586
"1110021L09Rik",0.196784957457172,0.300056625285744
"1110028C15Rik",0.218062764660924,0.122755556848954
"1110028F11Rik",0.00375658132076176,1.00306124077589
"1110031I02Rik",0.480511159124102,0.101834365831101
"1110032A03Rik",0.937493886668353,-0.00755542597768589
"1110034A24Rik",0.0258215427221894,-0.270151887702949
"1110034B05Rik",0.03818955260659,0.211609027660318
"1110034G24Rik",0.00207137160354688,0.721198354062168
"1110035H17Rik",0.73423031250674,-0.116635541319617
"1110037F02Rik",0.278334584294822,-0.0795809363914819
"1110038D17Rik",0.268518134163648,-0.129549185596397
"1110038F14Rik",0.581531472651808,0.0767987396485079
"1110049F12Rik",0.613150601528724,0.0500936565075092
"1110050K14Rik",0.92169217607429,-0.0259108431182434
"1110051M20Rik",0.00349741500517008,-0.321477712538459
"1110054M08Rik",0.0784606165791961,-0.271274640604866
"1110054O05Rik",0.113913834538094,0.25719071340074
"1110057K04Rik",8.3582255182815e-07,0.345704600719216
"1110058L19Rik",0.670301186736952,0.0421847839134072
"1110059E24Rik",0.0966046893794857,0.207638945861227
"1110059G10Rik",0.946456514605121,-0.00748133606619677
"1110065P20Rik",0.874021625740544,-0.0278759796895659
"1110067D22Rik",0.00100033775267688,-0.502412833632174
"1190002N15Rik",4.92045161295591e-08,1.02831015395004
"1190003J15Rik",0.875502634433197,0.0187308059239583
"1190005F20Rik",0.289689871189993,-0.0993711377463983
"1190005I06Rik",0.0128504463101154,0.448759565527091
"1190007F08Rik",0.0898518878316642,-0.257267784500025
"1190007I07Rik",0.978856764286721,0.00418915871772246
"1200007C13Rik",0.859885593104707,-0.0735760400629141
"1200009I06Rik",0.648992871223381,0.190156436307398
"1200011I18Rik",0.391868722466674,-0.0607388054645686
"1200011M11Rik",0.574893994530554,-0.0621518957855687
"1200014J11Rik",0.335656428816906,-0.0921157077172839
"1200016B10Rik",0.232058803260956,-0.181643463151981
"1300001I01Rik",0.0574431573133582,-0.202238929807397
"1300002E11Rik",0.4125666595693,-0.102678806547572
"1300002K09Rik",0.000539263303492889,-0.398108748257953
"1300010F03Rik",0.00233499419067704,0.374807435118235
"1300014I06Rik",0.00428953951959148,0.306383564160701
"1300015D01Rik",0.12187773905173,-0.43975957242964
"1300017J02Rik",0.0553810225636189,-0.229797911596763
"1300018I17Rik",0.233261944218312,-0.132505539633996
"1300018J18Rik",0.811536404177678,-0.0233146282131547
"1500001M20Rik",0.802747664924851,0.0427026928699025
"1500002F19Rik",0.486176292133115,-0.22975005799132
"1500002O20Rik",0.636520511425461,-0.0620655856900143
"1500003O03Rik",0.994002928105006,0.000947875061832581
"1500010J02Rik",0.0732064862411345,0.276923858301266
"1500011B03Rik",0.465291445509053,-0.262290274449857
"1500011H22Rik",0.041479712753302,0.322124967870978
"1500011K16Rik",0.00957734409336438,0.291993526444396
"1500012F01Rik",0.0256223398453133,-0.309762723382
"1500017E21Rik",0.000556577410557254,1.49669634926615
"1500026H17Rik",0.962226360915335,0.0107128429905904
"1500031L02Rik",0.157816995163348,0.266931308703081
"1500032L24Rik",0.086873412006595,0.129254221624896
