"Gene.Symbol","pvalue","log2FoldChange"
"1500004A13Rik",0.658122454785831,-0.360737242892602
"1500011B03Rik",0.903472562290227,-0.0810965314888576
"1500015A07Rik",0.271711196866151,0.601741230656198
"1500015L24Rik",0.496147255929016,2.35489903288336
"1500026H17Rik",0.817391551173876,-0.160132557763034
"1520401A03Rik",0.437577243266406,2.67438960385222
"1600010M07Rik",0.642579746751037,0.630243821581065
"1600012H06Rik",0.366446981196464,-0.124788647450821
"1600014C10Rik",0.100052221996277,0.184248302356524
"1600020E01Rik",0.523912957558448,-0.146631653329116
"1600023N17Rik",0.558433652764359,-1.94064040856037
"1600027J07Rik",0.822265839194631,-0.793805925022345
"1600029O15Rik",0.493311978698546,2.36988483703124
"1700001C19Rik",0.0294267932283678,-0.650340102835688
"1700001G11Rik",0.822265839194631,-0.793805925022345
"1700001G17Rik",0.971908447952165,0.0848249348645849
"1700001J03Rik",0.676514909483172,-1.47367988559278
"1700001K19Rik",0.0501551414562768,-4.16959948384338
"1700001L05Rik",0.145043014515575,-0.668316850123584
"1700003E16Rik",0.808808227714686,-0.209850025144747
"1700003F12Rik",0.419378749728895,1.82197233109605
"1700003G18Rik",0.519243757706778,2.04569284395844
"1700003N22Rik",0.692515982121906,-1.29188047289832
"1700006J14Rik",0.451445668674963,1.66649670734495
"1700007F19Rik",0.69963785871254,1.36322947078347
"1700007J10Rik",0.28195162816063,3.67368970857394
"1700007K13Rik",0.87577010490969,0.445428819008347
"1700007L15Rik",0.0935134861795044,1.0869447074394
"1700008B11Rik",0.853932942040619,0.65042478259141
"1700008C04Rik",0.854314209608261,0.648866595376929
"1700008J07Rik",0.644535693108421,0.219875286881181
"1700008O03Rik",0.419745165832393,-2.06885756991315
"1700009J07Rik",0.396515600873714,-2.91759742228895
"1700010B13Rik",0.553739569394503,-2.06486093979328
"1700010G06Rik",0.400240328647891,-2.89539701517216
"1700010I14Rik",0.0691734282718288,-1.24414798131803
"1700011B04Rik",0.698474792096575,1.36867276561163
"1700011D18Rik",0.389570612780693,2.95482865258459
"1700012D14Rik",0.163302028109408,1.06989309768309
"1700013F07Rik",0.854314209608261,0.648866595376929
"1700015O11Rik",0.353873741793533,3.17721490943923
"1700016A09Rik",0.854314209608261,0.648866595376929
"1700016B15Rik",0.416483661246892,-2.79999244132532
"1700016C15Rik",0.0456645222791549,4.89103369367047
"1700016D06Rik",0.6116489698189,-1.75743739268472
"1700016H13Rik",0.854314209608261,0.648866595376929
"1700016K19Rik",0.0196669599398468,4.95965746074115
"1700016L21Rik",0.531518446980688,-2.17697956335677
"1700016P03Rik",0.983639032009505,-0.0724674127793637
"1700017B05Rik",0.379670583728144,-0.17165351046728
"1700018A23Rik",0.280736630172491,3.52984657178253
"1700018B08Rik",0.822265839194631,-0.793805925022345
"1700018L02Rik",0.82901102490467,-0.148897418546085
"1700018M17Rik",0.822265839194631,-0.793805925022345
"1700018P08Rik",0.854314209608261,0.648866595376929
"1700019A02Rik",0.493311978698546,2.36988483703124
"1700019A23Rik",0.822265839194631,-0.793805925022345
"1700019D03Rik",0.216592032294562,2.32507137061542
"1700020L13Rik",0.245633493405983,-3.70795699282563
"1700020L24Rik",0.652692554304319,-0.859001698415707
"1700021A07Rik",0.535684560207651,-2.1557946202622
